id,name,source,website,phone,email,facebook,instagram,linkedin,pagespeed_mobile,pagespeed_desktop,created_at,updated_at,address,city,state,zip_code,category,rating,reviews,twitter,youtube,hours,description,yelp_url,campaign_status,last_contact,contact_count,session_id,session_name
1,Carlton Charles A MD,Google Maps,http://www.texasmedicalinstitute.com/?y_source=1_MTI5MjIzMTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 817-926-2561,,,,,,,2026-03-18T23:18:42.150803,2026-03-19T02:33:58.405844,,,,,,,,,,,,,,,,,
2,HealthTexas Primary Care Doctors (Wurzbach Clinic),Google Maps,https://healthtexas.org/primary-care/new-braunfels/,+1 830-515-1280,HTMG.Marketing@HealthTexas.org,https://www.facebook.com/HealthTX/,https://www.instagram.com/healthtexas/,https://www.linkedin.com/company/healthtexaspcp,,,2026-03-18T23:18:58.072213,2026-03-18T23:18:58.072213,,,,,,,,,,,,,,,,,
3,HealthTexas Primary Care Doctors (Leon Valley Clinic),Google Maps,https://healthtexas.org/primary-care/sa/southwest-military/,+1 210-924-2337,HTMG.Marketing@HealthTexas.org,https://www.facebook.com/HealthTX/,https://www.instagram.com/healthtexas/,https://www.linkedin.com/company/healthtexaspcp,,,2026-03-18T23:19:06.914715,2026-03-18T23:19:06.914715,,,,,,,,,,,,,,,,,
4,HealthTexas Primary Care Doctors (Val Verde Clinic),Google Maps,https://healthtexas.org/primary-care/sa/val-verde/,+1 210-921-4200,HTMG.Marketing@HealthTexas.org,https://www.facebook.com/HealthTX/,https://www.instagram.com/healthtexas/,https://www.linkedin.com/company/healthtexaspcp,,,2026-03-18T23:19:16.592355,2026-03-18T23:19:16.592355,,,,,,,,,,,,,,,,,
5,Texas Physician House Calls,Google Maps,http://texashousecalls.com/,+1 972-675-7313,admin@texashousecalls.com,https://www.facebook.com/TexasHomeHealthCare,https://www.instagram.com/texashousecalls/,https://www.linkedin.com/company/texas-house-calls/,,,2026-03-18T23:19:28.492455,2026-03-18T23:19:28.492455,,,,,,,,,,,,,,,,,
6,Texas Tech Physicians Medical Pavilion,Google Maps,https://www.texastechphysicians.com/services/clinics.aspx?utm_medium=TexasTechPhysiciansMedicalPavilion&utm_source=GMBSocialClimb,+1 806-743-2669,,,,,,,2026-03-18T23:19:53.001610,2026-03-19T02:31:03.836181,,,,,,,,,,,,,,,,,
7,Texas Family & Geriatric Clinic | Family Medicine & Geriatric Medicine,Google Maps,http://seniorcareclinic.net/,+1 713-468-2358,clinic903@gmail.com,,,,,,2026-03-18T23:20:02.807256,2026-03-18T23:20:02.807256,,,,,,,,,,,,,,,,,
8,"Lisa Abbott, MD",Google Maps,https://txtelehealth.com/?utm_source=googlebusiness&utm_medium=organic&utm_campaign=gbp-dfw&utm_content=main-button,+1 903-213-5515,info@txtelehealth.com,https://www.facebook.com/TXTelehealth,,,,,2026-03-18T23:20:16.853936,2026-03-18T23:20:16.853936,,,,,,,,,,,,,,,,,
9,Texas Tech Physicians of El Paso,Google Maps,https://ttpelpaso.com/,+1 915-215-8000,,,,,,,2026-03-18T23:20:38.698945,2026-03-19T02:31:51.800102,,,,,,,,,,,,,,,,,
10,UT Physicians Multispecialty - Greens,Google Maps,https://www.utphysicians.com/clinic/ut-physicians-multispecialty-greens/?utm_source=extnetwork&utm_medium=YextListings&utm_campaign=56738,+1 713-486-5600,,https://www.facebook.com/UTPhysicians,https://www.instagram.com/utphysicians/,https://www.linkedin.com/company/ut-physicians,,,2026-03-18T23:21:01.557758,2026-03-19T02:32:53.995449,,,,,,,,,,,,,,,,,
